Intersection,Hour,Vehicle_Type,Vehicle_Count,Green_Light_Duration,Red_Light_Duration
Intersection_6,20,Car,357,100,98
Intersection_1,4,Public Transport,308,107,87
Intersection_4,16,Two-Wheeler,382,111,115
Intersection_4,3,Company Bus,207,111,115
Intersection_8,7,Public Transport,59,51,49
Intersection_10,3,Company Bus,165,72,55
Intersection_4,18,Public Transport,439,111,115
Intersection_6,17,Car,166,100,98
Intersection_3,1,Public Transport,231,43,119
Intersection_5,18,Company Bus,285,56,85
Intersection_8,17,Car,243,51,49
Intersection_7,20,Public Transport,349,77,41
Intersection_9,2,Two-Wheeler,129,50,41
Intersection_9,5,Ride-Sharing,112,50,41
Intersection_2,5,Public Transport,382,41,47
Intersection_7,12,Two-Wheeler,97,77,41
Intersection_8,12,Company Bus,126,51,49
Intersection_8,21,Two-Wheeler,199,51,49
Intersection_9,2,Ride-Sharing,170,50,41
Intersection_2,15,Two-Wheeler,324,41,47
Intersection_6,21,Public Transport,395,100,98
Intersection_10,7,Two-Wheeler,63,72,55
Intersection_9,7,Public Transport,272,50,41
Intersection_10,11,Company Bus,142,72,55
Intersection_5,22,Ride-Sharing,286,56,85
Intersection_4,17,Two-Wheeler,155,111,115
Intersection_1,6,Ride-Sharing,263,107,87
Intersection_4,7,Two-Wheeler,56,111,115
Intersection_6,18,Ride-Sharing,150,100,98
Intersection_1,11,Two-Wheeler,98,107,87
Intersection_3,19,Company Bus,90,43,119
Intersection_4,17,Company Bus,460,111,115
Intersection_9,9,Public Transport,208,50,41
Intersection_2,14,Two-Wheeler,439,41,47
Intersection_4,21,Company Bus,193,111,115
Intersection_4,9,Company Bus,497,111,115
Intersection_4,18,Ride-Sharing,87,111,115
Intersection_8,0,Company Bus,109,51,49
Intersection_1,9,Company Bus,163,107,87
Intersection_2,11,Public Transport,145,41,47
Intersection_10,17,Car,402,72,55
Intersection_10,9,Ride-Sharing,258,72,55
Intersection_1,0,Company Bus,338,107,87
Intersection_5,22,Car,112,56,85
Intersection_8,16,Car,444,51,49
Intersection_4,10,Company Bus,446,111,115
Intersection_3,4,Public Transport,143,43,119
Intersection_8,20,Two-Wheeler,370,51,49
Intersection_3,3,Public Transport,463,43,119
Intersection_1,19,Company Bus,396,107,87
Intersection_1,8,Ride-Sharing,200,107,87
Intersection_5,14,Two-Wheeler,453,56,85
Intersection_6,23,Two-Wheeler,439,100,98
Intersection_6,0,Company Bus,342,100,98
Intersection_7,19,Company Bus,133,77,41
Intersection_9,8,Ride-Sharing,177,50,41
Intersection_5,7,Public Transport,311,56,85
Intersection_2,23,Ride-Sharing,398,41,47
Intersection_5,13,Company Bus,204,56,85
Intersection_10,17,Ride-Sharing,291,72,55
Intersection_9,20,Company Bus,133,50,41
Intersection_2,23,Two-Wheeler,446,41,47
Intersection_2,0,Ride-Sharing,185,41,47
Intersection_8,11,Car,230,51,49
Intersection_10,4,Two-Wheeler,130,72,55
Intersection_10,0,Car,463,72,55
Intersection_4,10,Company Bus,50,111,115
Intersection_7,14,Car,265,77,41
Intersection_8,22,Public Transport,257,51,49
Intersection_3,20,Company Bus,380,43,119
Intersection_1,18,Car,302,107,87
Intersection_4,4,Company Bus,181,111,115
Intersection_6,22,Public Transport,111,100,98
Intersection_10,3,Car,373,72,55
Intersection_5,19,Car,194,56,85
Intersection_5,7,Two-Wheeler,418,56,85
Intersection_7,8,Car,134,77,41
Intersection_5,13,Car,166,56,85
Intersection_5,5,Company Bus,279,56,85
Intersection_4,0,Public Transport,305,111,115
Intersection_5,8,Ride-Sharing,362,56,85
Intersection_5,15,Public Transport,368,56,85
Intersection_9,15,Public Transport,490,50,41
Intersection_5,21,Car,98,56,85
Intersection_4,11,Ride-Sharing,195,111,115
Intersection_8,4,Ride-Sharing,423,51,49
Intersection_6,7,Public Transport,491,100,98
Intersection_6,13,Company Bus,59,100,98
Intersection_1,10,Ride-Sharing,240,107,87
Intersection_2,20,Ride-Sharing,129,41,47
Intersection_6,14,Public Transport,280,100,98
Intersection_10,17,Two-Wheeler,256,72,55
Intersection_4,19,Ride-Sharing,467,111,115
Intersection_1,3,Public Transport,438,107,87
Intersection_6,9,Two-Wheeler,450,100,98
